x,y,lon,lat
487884.4923952319,4466497.438906905,116.85733644069177,40.34894321835805
487884.48321480077,4466497.93723851,116.85733632313011,40.34894770780888
487884.4740343696,4466498.435570115,116.85733620556844,40.34895219725973
487884.46485393844,4466498.93390172,116.85733608800678,40.34895668671056
487884.45567350724,4466499.432233325,116.85733597044508,40.348961176161396
487884.44649307604,4466499.93056493,116.85733585288335,40.34896566561221
487884.4373126449,4466500.428896535,116.85733573532163,40.34897015506304
487884.4281322137,4466500.92722814,116.85733561775987,40.34897464451385
487884.4189517826,4466501.425559745,116.8573355001981,40.34897913396466
487884.4097713514,4466501.92389135,116.85733538263634,40.34898362341547
487884.4005909202,4466502.422222954,116.85733526507452,40.34898811286629
487884.39141048904,4466502.92055456,116.85733514751273,40.34899260231709
487884.38223005785,4466503.418886164,116.85733502995087,40.34899709176788
487884.3730496267,4466503.91721777,116.85733491238905,40.34900158121867
487884.3638691955,4466504.415549374,116.85733479482718,40.349006070669475
487884.3546887644,4466504.91388098,116.8573346772653,40.349010560120256
487884.3455083332,4466505.412212584,116.8573345597034,40.34901504957104
487884.336327902,4466505.91054419,116.85733444214151,40.34901953902183
487884.32714747085,4466506.408875794,116.85733432457957,40.34902402847261
487884.31796703965,4466506.9072074,116.85733420701763,40.34902851792338
487884.3087866085,4466507.405539004,116.85733408945568,40.349033007374146
487884.2996061773,4466507.90387061,116.8573339718937,40.34903749682492
487884.2904257461,4466508.402202214,116.85733385433169,40.34904198627567
487884.281245315,4466508.90053382,116.85733373676969,40.34904647572644
487884.2720648838,4466509.398865424,116.85733361920767,40.34905096517719
487884.26288445265,4466509.89719703,116.8573335016456,40.34905545462795
487884.25370402145,4466510.395528634,116.85733338408355,40.3490599440787
487884.2445235903,4466510.89386024,116.85733326652147,40.34906443352944
487884.2353431591,4466511.392191844,116.8573331489594,40.34906892298018
