GPSWeek,GPSTime,imu_lon,imu_lat,headingAngle,x,y,v,cmd_steering,cmd_v,imu_gps_state,imu_altitude,imu_satellite_num,imu_warning
2169.0,182143.01,116.34989023,40.00393741,178.62,444509.80356615066,4428396.61102082,0.547,0,0,42.0,39.87,13.0,2.0
2169.0,182143.51,116.34989031,40.0039342,178.56,444509.807795765,4428396.254688135,0.696,0,0,42.0,39.87,16.0,2.0
2169.0,182144.02,116.34989029,40.00393138,178.35,444509.8038055511,4428395.941704415,0.578,0,0,42.0,39.88,15.0,2.0
2169.0,182144.53,116.34989033,40.00392945,178.29,444509.80565723346,4428395.727465819,0.485,0,0,42.0,39.9,18.0,2.0
2169.0,182145.03,116.34989053,40.00392658,178.62,444509.82040481083,4428395.408795546,0.688,0,0,42.0,39.87,18.0,2.0
2169.0,182145.54,116.34989065,40.00392375,178.64,444509.8283563089,4428395.094614746,0.594,0,0,42.0,39.86,15.0,2.0
2169.0,182146.05,116.34989102,40.00392078,178.48,444509.85753341025,4428394.764739477,0.625,0,0,42.0,39.88,15.0,2.0
2169.0,182146.56,116.34989127,40.00391787,178.33,444509.87651639536,4428394.441598411,0.616,0,0,42.0,39.89,16.0,2.0
2169.0,182147.06,116.3498915,40.00391502,178.19,444509.8938408441,4428394.125129293,0.61,0,0,42.0,39.92,14.0,2.0
2169.0,182147.57,116.34989156,40.00391223,178.06,444509.89670338517,4428393.8154255105,0.612,0,0,42.0,39.93,16.0,2.0
2169.0,182148.08,116.34989148,40.00390953,177.94,444509.8876889796,4428393.515798135,0.614,0,0,42.0,39.92,15.0,2.0
2169.0,182148.58,116.34989158,40.00390684,177.82,444509.89404671657,4428393.217168604,0.601,0,0,42.0,39.92,16.0,2.0
2169.0,182149.09,116.34989177,40.00390416,177.7,444509.90809456864,4428392.919592954,0.59,0,0,42.0,39.93,16.0,2.0
2169.0,182149.6,116.34989195,40.00390141,177.55,444509.9212321942,4428392.614254123,0.605,0,0,42.0,39.93,16.0,2.0
2169.0,182150.11,116.34989217,40.00389867,176.45,444509.9377921499,4428392.310000302,0.594,0,0,42.0,39.95,14.0,2.0
2169.0,182150.61,116.34989242,40.00389597,174.0,444509.95694516454,4428392.010167465,0.599,0,0,42.0,39.95,14.0,2.0
2169.0,182151.12,116.34989269,40.00389329,171.55,444509.97782149084,4428391.712542007,0.578,0,0,42.0,39.96,14.0,2.0
2169.0,182151.63,116.34989321,40.00389068,169.17,444510.020093446,4428391.422530305,0.563,0,0,42.0,39.96,14.0,2.0
2169.0,182152.14,116.3498939,40.00388803,166.72,444510.07684350945,4428391.127973096,0.594,0,0,42.0,39.97,13.0,2.0
2169.0,182152.65,116.34989477,40.00388544,164.41,444510.14900620317,4428390.839963315,0.577,0,0,42.0,39.97,15.0,2.0
2169.0,182153.15,116.34989574,40.00388302,162.77,444510.22984211793,4428390.570759834,0.577,0,0,42.0,39.98,15.0,2.0
2169.0,182153.66,116.34989672,40.00388045,161.97,444510.3114101584,4428390.284901396,0.584,0,0,42.0,40.0,15.0,2.0
2169.0,182154.17,116.34989782,40.00387787,161.15,444510.4032128065,4428389.9978583325,0.591,0,0,42.0,40.01,15.0,2.0
2169.0,182154.68,116.349899,40.00387525,160.36,444510.5018115479,4428389.706325797,0.602,0,0,42.0,40.03,13.0,2.0
2169.0,182155.19,116.34990032,40.00387265,159.14,444510.61237630725,4428389.416925931,0.572,0,0,42.0,40.05,12.0,2.0
2169.0,182155.69,116.34990166,40.00387025,153.82,444510.7248101102,4428389.149711926,0.55,0,0,42.0,40.08,13.0,2.0
2169.0,182156.2,116.34990328,40.00386784,147.51,444510.86113546335,4428388.881213678,0.567,0,0,52.0,40.09,13.0,2.0
2169.0,182156.71,116.34990535,40.00386565,141.32,444511.03604906873,4428388.6368534025,0.592,0,0,52.0,40.11,16.0,2.0
2169.0,182157.21,116.34990756,40.00386365,135.43,444511.2230663268,4428388.413494363,0.583,0,0,42.0,40.13,16.0,2.0
2169.0,182157.72,116.3499094,40.003862,128.13,444511.37878528296,4428388.229212731,0.564,0,0,42.0,40.12,18.0,2.0
2169.0,182158.23,116.34991179,40.0038606,120.94,444511.5816523654,4428388.072336564,0.564,0,0,42.0,40.1,18.0,2.0
2169.0,182158.73,116.34991447,40.0038594,113.64,444511.80943457107,4428387.937478159,0.547,0,0,42.0,40.1,17.0,2.0
2169.0,182159.24,116.34991754,40.00385848,106.14,444512.0707322512,4428387.833454587,0.554,0,0,42.0,40.08,19.0,2.0
2169.0,182159.75,116.34992078,40.00385782,99.15,444512.346750922,4428387.758182986,0.584,0,0,42.0,40.07,16.0,2.0
2169.0,182160.26,116.34992434,40.00385737,97.12,444512.6502534836,4428387.706020394,0.61,0,0,42.0,40.06,17.0,2.0
2169.0,182160.76,116.34992785,40.00385701,100.34,444512.9495611188,4428387.663878186,0.576,0,0,42.0,40.05,14.0,2.0
2169.0,182161.27,116.34993115,40.00385649,107.41,444513.2308144932,4428387.60410808,0.511,0,0,42.0,40.04,17.0,2.0
2169.0,182161.78,116.34993404,40.00385589,114.83,444513.47700720467,4428387.535713915,0.498,0,0,42.0,40.02,17.0,2.0
2169.0,182162.29,116.34993679,40.00385495,122.3,444513.7109748541,4428387.42966979,0.497,0,0,42.0,40.01,20.0,2.0
2169.0,182162.8,116.34993941,40.00385371,129.85,444513.9336033826,4428387.290409143,0.508,0,0,42.0,40.0,19.0,2.0
2169.0,182163.31,116.34994186,40.00385222,137.39,444514.14151903463,4428387.12350645,0.496,0,0,42.0,39.99,17.0,2.0
2169.0,182163.81,116.34994389,40.00385052,144.66,444514.31341522606,4428386.933557016,0.495,0,0,42.0,39.99,17.0,2.0
2169.0,182164.32,116.34994566,40.00384858,152.1,444514.46292461065,4428386.717131478,0.511,0,0,42.0,39.98,17.0,2.0
2169.0,182164.83,116.34994707,40.00384644,159.5,444514.58154398017,4428386.478731755,0.52,0,0,42.0,39.98,16.0,2.0
2169.0,182165.33,116.34994806,40.00384425,166.74,444514.66427341325,4428386.235043931,0.52,0,0,42.0,39.99,20.0,2.0
2169.0,182165.84,116.34994865,40.00384194,174.17,444514.71276335366,4428385.978286145,0.53,0,0,42.0,39.99,16.0,2.0
2169.0,182166.35,116.34994889,40.00383944,180.86,444514.7312249271,4428385.70065786,0.586,0,0,42.0,39.99,17.0,2.0
2169.0,182166.86,116.34994879,40.00383663,185.83,444514.7204145448,4428385.388833866,0.619,0,0,42.0,39.99,16.0,2.0
2169.0,182167.36,116.34994838,40.0038338,186.53,444514.6831276458,4428385.074983032,0.639,0,0,42.0,39.99,17.0,2.0
2169.0,182167.87,116.34994791,40.00383085,185.97,444514.64062224445,4428384.747850566,0.654,0,0,42.0,39.98,14.0,2.0
2169.0,182168.38,116.34994751,40.00382789,185.36,444514.6040836585,4428384.419564608,0.643,0,0,42.0,39.98,17.0,2.0
2169.0,182168.89,116.34994714,40.00382505,185.58,444514.5702028899,4428384.104578959,0.62,0,0,42.0,39.98,17.0,2.0
2169.0,182169.4,116.34994674,40.0038223,187.82,444514.53383429925,4428383.799601224,0.619,0,0,42.0,39.98,15.0,2.0
2169.0,182169.91,116.34994622,40.00381951,189.48,444514.48719061865,4428383.490258536,0.623,0,0,42.0,39.97,14.0,2.0
